编号,震源号,震源X/m,震源Y/m,震源Z/m,台站X/m,台站Y/m,台站Z/m,到时/ms,传播时间/ms
,87,5459,10390,384,5265,10213,389,997,75.0455643905346
,87,5459,10390,384,5511,10133,393,990,74.9606699597617
,87,5459,10390,384,5511,10329,384,953,22.9017422026877
,87,5459,10390,384,5265,10025,391,1045,118.117893372232
,88,5454,10279,384,5265,10213,389,1032,57.2156678984107
,88,5454,10279,384,5511,10133,393,995,44.8544130197569
,88,5454,10279,384,5511,10329,384,974,21.6634743854484
,88,5454,10279,384,5265,10025,391,1029,90.4798996733416
,89,5495,10325,391,5265,10213,389,1056,73.0937335039812
,89,5495,10325,391,5511,10133,393,1029,55.050255333149
,89,5495,10325,391,5511,10329,384,998,5.11899224776255
,89,5495,10325,391,5265,10025,391,1116,108.006046693919
,90,5482,10337,384,5265,10213,389,1064,71.4228569142674
,90,5482,10337,384,5511,10133,393,1038,58.9278354932401
,90,5482,10337,384,5511,10329,384,995,8.59520511799504
,90,5482,10337,384,5265,10025,391,1080,108.602251263921
,91,5352,10397,384,5265,10213,389,998,58.1693516328638
,91,5352,10397,384,5511,10133,393,1030,88.0899354903492
,91,5352,10397,384,5511,10329,384,998,49.4087491219512
,91,5352,10397,384,5265,10025,391,1053,109.172023029002
,92,5325,10299,391,5265,10213,389,981,29.9659670905758
,92,5325,10299,391,5511,10133,393,1021,71.2317287707765
,92,5325,10299,391,5511,10329,384,1015,53.8668047415217
,92,5325,10299,391,5265,10025,391,1040,80.1406926114624
,93,5434,10394,384,5265,10213,389,1044,70.7666472806713
,93,5434,10394,384,5511,10133,393,1052,77.7914532842885
,93,5434,10394,384,5511,10329,384,1005,28.7905880312243
,93,5434,10394,384,5265,10025,391,1088,115.977126527393
,94,5496,10281,384,5265,10213,389,1049,68.8150434431428
,94,5496,10281,384,5511,10133,393,1036,42.5800566520266
,94,5496,10281,384,5511,10329,384,992,14.3683325264916
,94,5496,10281,384,5265,10025,391,1077,98.5387109263177
,95,5471,10334,388,5265,10213,389,1216,68.2600071156499
,95,5471,10334,388,5511,10133,393,1200,58.5721254313946
,95,5471,10334,388,5511,10329,384,1158,11.5740737717309
,95,5471,10334,388,5265,10025,391,1255,106.109685260689
,96,5502,10360,388,5265,10213,389,1035,79.6825333586287
,96,5502,10360,388,5511,10133,393,1024,64.9238172076806
,96,5502,10360,388,5511,10329,384,982,9.29340340988034
,96,5502,10360,388,5265,10025,391,1108,117.248384523922
,97,5435,10359,384,5265,10213,389,1044,64.0414406650021
,97,5435,10359,384,5511,10133,393,1061,68.1732486884313
,97,5435,10359,384,5511,10329,384,998,23.344797960932
,97,5435,10359,384,5265,10025,391,1074,107.097133100599
,98,5476,10237,384,5265,10213,389,1048,60.6912561365191
